ws,wd,freq_val
8.0,0.0,0.003951
8.0,10.0,0.003951
8.0,20.0,0.003951
8.0,30.0,0.003951
8.0,40.0,0.003951
8.0,50.0,0.003951
8.0,60.0,0.003951
8.0,70.0,0.003951
8.0,80.0,0.003951
8.0,90.0,0.003951
8.0,100.0,0.003951
8.0,110.0,0.003951
8.0,120.0,0.003951
8.0,130.0,0.003951
8.0,140.0,0.003951
8.0,150.0,0.003951
8.0,160.0,0.003951
8.0,170.0,0.003951
8.0,180.0,0.003951
8.0,190.0,0.003951
8.0,200.0,0.003951
8.0,210.0,0.003951
8.0,220.0,0.003951
8.0,230.0,0.003951
8.0,240.0,0.003951
8.0,250.0,0.003951
8.0,260.0,0.003951
8.0,270.0,0.003951
8.0,280.0,0.003951
8.0,290.0,0.003951
8.0,300.0,0.003951
8.0,310.0,0.003951
8.0,320.0,0.003951
8.0,330.0,0.003951
8.0,340.0,0.003951
8.0,350.0,0.003951
12.0,0.0,0.0090051
12.0,10.0,0.0090051
12.0,20.0,0.0090051
12.0,30.0,0.0090051
12.0,40.0,0.0090051
12.0,50.0,0.0090051
12.0,60.0,0.0090051
12.0,70.0,0.0090051
12.0,80.0,0.0090051
12.0,90.0,0.0090051
12.0,100.0,0.0090051
12.0,110.0,0.0090051
12.0,120.0,0.0090051
12.0,130.0,0.0090051
12.0,140.0,0.0090051
12.0,150.0,0.0090051
12.0,160.0,0.0090051
12.0,170.0,0.0090051
12.0,180.0,0.0090051
12.0,190.0,0.0090051
12.0,200.0,0.0090051
12.0,210.0,0.0090051
12.0,220.0,0.0090051
12.0,230.0,0.0090051
12.0,240.0,0.0090051
12.0,250.0,0.0090051
12.0,260.0,0.0090051
12.0,270.0,0.01061
12.0,280.0,0.0132026
12.0,290.0,0.0144989
12.0,300.0,0.0140737
12.0,310.0,0.019012
12.0,320.0,0.0140806
12.0,330.0,0.0145058
12.0,340.0,0.0120435
12.0,350.0,0.0106306
17.0,0.0,0.0109945
17.0,10.0,0.0109945
17.0,20.0,0.0109945
17.0,30.0,0.0109945
17.0,40.0,0.0109945
17.0,50.0,0.0109945
17.0,60.0,0.0109945
17.0,70.0,0.0109945
17.0,80.0,0.0109945
17.0,90.0,0.0109945
17.0,100.0,0.0109945
17.0,110.0,0.0109945
17.0,120.0,0.0109945
17.0,130.0,0.0109945
17.0,140.0,0.0109945
17.0,150.0,0.0109945
17.0,160.0,0.0109945
17.0,170.0,0.0109945
17.0,180.0,0.0109945
17.0,190.0,0.0109945
17.0,200.0,0.0109945
17.0,210.0,0.0109945
17.0,220.0,0.0109945
17.0,230.0,0.0109945
17.0,240.0,0.0109945
17.0,250.0,0.0109945
17.0,260.0,0.0109945
17.0,270.0,0.0134157
17.0,280.0,0.0158162
17.0,290.0,0.0195199
17.0,300.0,0.0309808
17.0,310.0,0.0360013
17.0,320.0,0.0310013
17.0,330.0,0.0195199
17.0,340.0,0.0158093
17.0,350.0,0.0133951
